show,orientation,episodes,mean_influence_intensity,ratio_vs_tenet,gcs_path
2bears1cavewithtomsegurabertkreischer,Left,59,3.93,0.721,gs://podcast-dissertation-audio/analysis_outputs/Left_wing_2bears1cavewithtomsegurabertkreischer_enhanced_summary_20250802_162821.json
armchairexpertwithdaxshepard,Left,179,5.0,0.917,gs://podcast-dissertation-audio/analysis_outputs/Left_wing_armchairexpertwithdaxshepard_enhanced_summary_20250802_145911.json
callherdaddy,Left,129,6.06,1.112,gs://podcast-dissertation-audio/analysis_outputs/Left_wing_callherdaddy_enhanced_summary_20250802_155202.json
conan,Left,116,4.47,0.82,gs://podcast-dissertation-audio/analysis_outputs/Left_wing_conan_enhanced_summary_20250802_160224.json
datelinenbc,Left,155,3.23,0.593,gs://podcast-dissertation-audio/analysis_outputs/Left_wing_datelinenbc_enhanced_summary_20250802_151757.json
fastpoliticswithmollyjongfast,Left,108,5.36,0.983,gs://podcast-dissertation-audio/analysis_outputs/Left_wing_fastpoliticswithmollyjongfast_enhanced_summary_20250802_160527.json
pivot,Left,130,4.6,0.844,gs://podcast-dissertation-audio/analysis_outputs/Left_wing_pivot_enhanced_summary_20250802_154706.json
podsaveamerica,Left,192,5.07,0.93,gs://podcast-dissertation-audio/analysis_outputs/Left_wing_podsaveamerica_enhanced_summary_20250802_144955.json
thealfrankenpodcast,Left,64,5.4,0.991,gs://podcast-dissertation-audio/analysis_outputs/Left_wing_thealfrankenpodcast_enhanced_summary_20250802_162335.json
thebulwarkpodcastwithtimmiller,Left,298,4.74,0.87,gs://podcast-dissertation-audio/analysis_outputs/Left_wing_thebulwarkpodcastwithtimmiller_enhanced_summary_20250802_141500.json
thejournal,Left,250,3.92,0.719,gs://podcast-dissertation-audio/analysis_outputs/Left_wing_thejournal_enhanced_summary_20250802_142602.json
thelincolnprojectpodcast,Left,147,5.89,1.081,gs://podcast-dissertation-audio/analysis_outputs/Left_wing_thelincolnprojectpodcast_enhanced_summary_20250802_152114.json
therachelmaddowshow,Left,134,4.84,0.888,gs://podcast-dissertation-audio/analysis_outputs/Left_wing_therachelmaddowshow_enhanced_summary_20250802_154220.json
theweeklyshowwithjohnstewart,Left,33,5.37,0.985,gs://podcast-dissertation-audio/analysis_outputs/Left_wing_theweeklyshowwithjohnstewart_enhanced_summary_20250802_164136.json
todayexplained,Left,297,4.88,0.895,gs://podcast-dissertation-audio/analysis_outputs/Left_wing_todayexplained_enhanced_summary_20250802_141947.json
glenbeck,Right,561,7.12,1.306,gs://podcast-dissertation-audio/analysis_outputs/Right_wing_glenbeck_enhanced_summary_20250802_133620.json
impaulsive,Right,42,5.15,0.945,gs://podcast-dissertation-audio/analysis_outputs/Right_wing_impaulsive_enhanced_summary_20250802_163728.json
lexfridman,Right,53,4.86,0.892,gs://podcast-dissertation-audio/analysis_outputs/Right_wing_lexfridman_enhanced_summary_20250802_163335.json
mattwalsh,Right,345,5.71,1.048,gs://podcast-dissertation-audio/analysis_outputs/Right_wing_mattwalsh_enhanced_summary_20250802_135136.json
megynkelly,Right,390,5.36,0.983,gs://podcast-dissertation-audio/analysis_outputs/Right_wing_megynkelly_enhanced_summary_20250802_134447.json
pbdpodcast,Right,210,5.34,0.98,gs://podcast-dissertation-audio/analysis_outputs/Right_wing_pbdpodcast_enhanced_summary_20250802_143508.json
shawnryan,Right,98,5.05,0.927,gs://podcast-dissertation-audio/analysis_outputs/Right_wing_shawnryan_enhanced_summary_20250802_161044.json
stayfreewithrussellbrand,Right,65,5.72,1.05,gs://podcast-dissertation-audio/analysis_outputs/Right_wing_stayfreewithrussellbrand_enhanced_summary_20250802_161951.json
theculturewarpodcastwithtimpool,Right,336,6.22,1.141,gs://podcast-dissertation-audio/analysis_outputs/Right_wing_theculturewarpodcastwithtimpool_enhanced_summary_20250802_140657.json
thedrphilpodcast,Right,140,5.51,1.011,gs://podcast-dissertation-audio/analysis_outputs/Right_wing_thedrphilpodcast_enhanced_summary_20250802_152515.json
thejoeroganexperience,Right,219,5.13,0.941,gs://podcast-dissertation-audio/analysis_outputs/Right_wing_thejoeroganexperience_enhanced_summary_20250802_121500.json
thejoeroganexperience,Right,219,5.13,0.941,gs://podcast-dissertation-audio/analysis_outputs/Right_wing_thejoeroganexperience_enhanced_summary_20250802_130519.json
thejordanbpetersonpodcast,Right,121,7.07,1.297,gs://podcast-dissertation-audio/analysis_outputs/Right_wing_thejordanbpetersonpodcast_enhanced_summary_20250802_155636.json
theseanhannityshow,Right,893,4.86,0.892,gs://podcast-dissertation-audio/analysis_outputs/Right_wing_theseanhannityshow_enhanced_summary_20250802_132404.json
thetuckercarlsonshow,Right,176,6.51,1.194,gs://podcast-dissertation-audio/analysis_outputs/Right_wing_thetuckercarlsonshow_enhanced_summary_20250802_150714.json
thispastweekendwtheovon,Right,92,4.53,0.831,gs://podcast-dissertation-audio/analysis_outputs/Right_wing_thispastweekendwtheovon_enhanced_summary_20250802_161557.json
